"Datum","Uhrzeit","Type","LS","Event","EventSec","pseudodate","EventC","Year"
2020-08-09,"03:47:50","LichtS","A","ein",13670,"2020-08-08",1,"2020"
2020-08-09,"03:51:39","LichtS","A","aus",13899,"2020-08-08",-1,"2020"
2020-08-09,"21:36:07","LichtS","A","ein",77767,"2020-08-09",1,"2020"
2020-08-09,"21:52:55","LichtS","A","ein",78775,"2020-08-09",1,"2020"
2020-08-09,"22:03:08","LichtS","A","aus",79388,"2020-08-09",-1,"2020"
2020-08-09,"22:03:15","LichtS","A","aus",79395,"2020-08-09",-1,"2020"
2020-08-09,"23:46:43","LichtS","A","ein",85603,"2020-08-09",1,"2020"
2020-08-10,"00:32:30","LichtS","A","ein",1950,"2020-08-09",1,"2020"
2020-08-10,"00:33:30","LichtS","A","aus",2010,"2020-08-09",-1,"2020"
2020-08-10,"00:33:35","LichtS","A","ein",2015,"2020-08-09",1,"2020"
2020-08-10,"00:34:01","LichtS","A","ein",2041,"2020-08-09",1,"2020"
2020-08-10,"00:34:08","LichtS","A","ein",2048,"2020-08-09",1,"2020"
2020-08-10,"00:34:19","LichtS","A","ein",2059,"2020-08-09",1,"2020"
2020-08-10,"02:03:57","LichtS","A","aus",7437,"2020-08-09",-1,"2020"
2020-08-10,"02:05:24","LichtS","A","ein",7524,"2020-08-09",1,"2020"
2020-08-10,"20:31:56","LichtS","A","aus",73916,"2020-08-10",-1,"2020"
2020-08-10,"20:53:35","LichtS","A","aus",75215,"2020-08-10",-1,"2020"
2020-08-11,"00:02:47","LichtS","A","ein",167,"2020-08-10",1,"2020"
2020-08-11,"00:19:29","LichtS","A","ein",1169,"2020-08-10",1,"2020"
2020-08-11,"00:39:35","LichtS","A","ein",2375,"2020-08-10",1,"2020"
2020-08-11,"00:41:01","LichtS","A","ein",2461,"2020-08-10",1,"2020"
2020-08-11,"00:41:40","LichtS","A","aus",2500,"2020-08-10",-1,"2020"
2020-08-11,"01:11:49","LichtS","A","ein",4309,"2020-08-10",1,"2020"
2020-08-11,"01:20:59","LichtS","A","aus",4859,"2020-08-10",-1,"2020"
2020-08-11,"01:21:00","LichtS","A","ein",4860,"2020-08-10",1,"2020"
2020-08-11,"01:21:46","LichtS","A","aus",4906,"2020-08-10",-1,"2020"
2020-08-11,"01:22:22","LichtS","A","aus",4942,"2020-08-10",-1,"2020"
2020-08-11,"01:22:22","LichtS","A","ein",4942,"2020-08-10",1,"2020"
2020-08-11,"01:22:37","LichtS","A","aus",4957,"2020-08-10",-1,"2020"
2020-08-11,"01:22:56","LichtS","A","ein",4976,"2020-08-10",1,"2020"
2020-08-11,"01:22:57","LichtS","A","ein",4977,"2020-08-10",1,"2020"
2020-08-11,"01:23:07","LichtS","A","aus",4987,"2020-08-10",-1,"2020"
2020-08-11,"01:57:37","LichtS","A","ein",7057,"2020-08-10",1,"2020"
2020-08-11,"02:07:33","LichtS","A","ein",7653,"2020-08-10",1,"2020"
2020-08-11,"02:48:32","LichtS","A","aus",10112,"2020-08-10",-1,"2020"
2020-08-11,"02:48:41","LichtS","A","aus",10121,"2020-08-10",-1,"2020"
2020-08-11,"20:31:59","LichtS","A","aus",73919,"2020-08-11",-1,"2020"
2020-08-11,"21:39:35","LichtS","A","ein",77975,"2020-08-11",1,"2020"
2020-08-11,"22:02:10","LichtS","A","ein",79330,"2020-08-11",1,"2020"
2020-08-11,"22:12:38","LichtS","A","aus",79958,"2020-08-11",-1,"2020"
2020-08-12,"00:43:48","LichtS","A","ein",2628,"2020-08-11",1,"2020"
2020-08-12,"01:18:17","LichtS","A","aus",4697,"2020-08-11",-1,"2020"
2020-08-12,"01:18:42","LichtS","A","aus",4722,"2020-08-11",-1,"2020"
2020-08-12,"01:21:15","LichtS","A","ein",4875,"2020-08-11",1,"2020"
2020-08-12,"01:52:13","LichtS","A","ein",6733,"2020-08-11",1,"2020"
2020-08-12,"01:52:54","LichtS","A","ein",6774,"2020-08-11",1,"2020"
2020-08-12,"01:53:30","LichtS","A","aus",6810,"2020-08-11",-1,"2020"
2020-08-12,"02:00:38","LichtS","A","ein",7238,"2020-08-11",1,"2020"
2020-08-12,"02:34:35","LichtS","A","ein",9275,"2020-08-11",1,"2020"
2020-08-12,"02:53:16","LichtS","A","aus",10396,"2020-08-11",-1,"2020"
2020-08-12,"02:53:36","LichtS","A","aus",10416,"2020-08-11",-1,"2020"
2020-08-12,"02:55:08","LichtS","A","ein",10508,"2020-08-11",1,"2020"
2020-08-12,"02:55:12","LichtS","A","aus",10512,"2020-08-11",-1,"2020"
2020-08-12,"02:55:12","LichtS","A","ein",10512,"2020-08-11",1,"2020"
2020-08-12,"02:55:14","LichtS","A","aus",10514,"2020-08-11",-1,"2020"
2020-08-12,"02:55:14","LichtS","A","ein",10514,"2020-08-11",1,"2020"
2020-08-12,"02:55:16","LichtS","A","aus",10516,"2020-08-11",-1,"2020"
2020-08-12,"02:55:16","LichtS","A","ein",10516,"2020-08-11",1,"2020"
2020-08-12,"02:55:18","LichtS","A","aus",10518,"2020-08-11",-1,"2020"
2020-08-12,"02:55:30","LichtS","A","ein",10530,"2020-08-11",1,"2020"
2020-08-12,"02:57:48","LichtS","A","ein",10668,"2020-08-11",1,"2020"
2020-08-12,"02:57:48","LichtS","A","ein",10668,"2020-08-11",1,"2020"
2020-08-12,"02:57:53","LichtS","A","aus",10673,"2020-08-11",-1,"2020"
2020-08-12,"02:58:23","LichtS","A","ein",10703,"2020-08-11",1,"2020"
2020-08-12,"03:00:01","LichtS","A","aus",10801,"2020-08-11",-1,"2020"
2020-08-12,"03:00:01","LichtS","A","aus",10801,"2020-08-11",-1,"2020"
2020-08-12,"03:00:01","LichtS","A","ein",10801,"2020-08-11",1,"2020"
2020-08-12,"03:00:23","LichtS","A","aus",10823,"2020-08-11",-1,"2020"
2020-08-12,"03:14:08","LichtS","A","ein",11648,"2020-08-11",1,"2020"
2020-08-12,"03:23:30","LichtS","A","ein",12210,"2020-08-11",1,"2020"
2020-08-12,"03:58:39","LichtS","A","aus",14319,"2020-08-11",-1,"2020"
2020-08-12,"03:58:40","LichtS","A","ein",14320,"2020-08-11",1,"2020"
2020-08-12,"03:58:49","LichtS","A","ein",14329,"2020-08-11",1,"2020"
2020-08-12,"03:59:51","LichtS","A","aus",14391,"2020-08-11",-1,"2020"
2020-08-12,"03:59:55","LichtS","A","ein",14395,"2020-08-11",1,"2020"
2020-08-12,"04:00:11","LichtS","A","aus",14411,"2020-08-11",-1,"2020"
2020-08-12,"04:00:12","LichtS","A","ein",14412,"2020-08-11",1,"2020"
2020-08-12,"04:00:24","LichtS","A","aus",14424,"2020-08-11",-1,"2020"
2020-08-12,"04:00:24","LichtS","A","ein",14424,"2020-08-11",1,"2020"
2020-08-12,"20:25:39","LichtS","A","aus",73539,"2020-08-12",-1,"2020"
2020-08-12,"20:38:42","LichtS","A","aus",74322,"2020-08-12",-1,"2020"
2020-08-12,"20:38:44","LichtS","A","aus",74324,"2020-08-12",-1,"2020"
2020-08-12,"22:54:23","LichtS","A","ein",82463,"2020-08-12",1,"2020"
2020-08-12,"23:38:05","LichtS","A","ein",85085,"2020-08-12",1,"2020"
2020-08-12,"23:50:40","LichtS","A","aus",85840,"2020-08-12",-1,"2020"
2020-08-12,"23:52:36","LichtS","A","aus",85956,"2020-08-12",-1,"2020"
2020-08-12,"23:52:36","LichtS","A","ein",85956,"2020-08-12",1,"2020"
2020-08-12,"23:53:58","LichtS","A","ein",86038,"2020-08-12",1,"2020"
2020-08-13,"00:01:17","LichtS","A","ein",77,"2020-08-12",1,"2020"
2020-08-13,"00:19:44","LichtS","A","ein",1184,"2020-08-12",1,"2020"
2020-08-13,"00:20:42","LichtS","A","aus",1242,"2020-08-12",-1,"2020"
2020-08-13,"00:23:17","LichtS","A","aus",1397,"2020-08-12",-1,"2020"
2020-08-13,"00:24:01","LichtS","A","ein",1441,"2020-08-12",1,"2020"
2020-08-13,"00:24:06","LichtS","A","aus",1446,"2020-08-12",-1,"2020"
2020-08-13,"00:24:06","LichtS","A","ein",1446,"2020-08-12",1,"2020"
2020-08-13,"00:24:47","LichtS","A","aus",1487,"2020-08-12",-1,"2020"
2020-08-13,"00:26:44","LichtS","A","ein",1604,"2020-08-12",1,"2020"
2020-08-13,"00:27:50","LichtS","A","ein",1670,"2020-08-12",1,"2020"
2020-08-13,"00:29:33","LichtS","A","aus",1773,"2020-08-12",-1,"2020"
2020-08-13,"00:30:42","LichtS","A","aus",1842,"2020-08-12",-1,"2020"
2020-08-13,"00:30:44","LichtS","A","ein",1844,"2020-08-12",1,"2020"
2020-08-13,"00:31:12","LichtS","A","aus",1872,"2020-08-12",-1,"2020"
2020-08-13,"00:31:13","LichtS","A","aus",1873,"2020-08-12",-1,"2020"
2020-08-13,"00:31:13","LichtS","A","ein",1873,"2020-08-12",1,"2020"
2020-08-13,"00:31:46","LichtS","A","ein",1906,"2020-08-12",1,"2020"
2020-08-13,"00:32:33","LichtS","A","ein",1953,"2020-08-12",1,"2020"
2020-08-13,"00:32:37","LichtS","A","aus",1957,"2020-08-12",-1,"2020"
2020-08-13,"00:32:38","LichtS","A","ein",1958,"2020-08-12",1,"2020"
2020-08-13,"00:32:44","LichtS","A","ein",1964,"2020-08-12",1,"2020"
2020-08-13,"00:32:44","LichtS","A","aus",1964,"2020-08-12",-1,"2020"
2020-08-13,"00:32:44","LichtS","A","ein",1964,"2020-08-12",1,"2020"
2020-08-13,"00:32:44","LichtS","A","aus",1964,"2020-08-12",-1,"2020"
2020-08-13,"00:32:44","LichtS","A","ein",1964,"2020-08-12",1,"2020"
2020-08-13,"00:32:46","LichtS","A","aus",1966,"2020-08-12",-1,"2020"
2020-08-13,"00:34:39","LichtS","A","ein",2079,"2020-08-12",1,"2020"
2020-08-13,"00:34:42","LichtS","A","ein",2082,"2020-08-12",1,"2020"
2020-08-13,"00:34:44","LichtS","A","aus",2084,"2020-08-12",-1,"2020"
