"Datum","Uhrzeit","Type","LS","Event","EventSec","pseudodate","EventC","Year"
2020-05-17,"01:30:12","LichtS","A","ein",5412,"2020-05-16",1,"2020"
2020-05-17,"01:41:08","LichtS","A","aus",6068,"2020-05-16",-1,"2020"
2020-05-17,"01:44:38","LichtS","A","aus",6278,"2020-05-16",-1,"2020"
2020-05-17,"01:44:38","LichtS","A","aus",6278,"2020-05-16",-1,"2020"
2020-05-17,"01:44:39","LichtS","A","ein",6279,"2020-05-16",1,"2020"
2020-05-17,"01:44:51","LichtS","A","aus",6291,"2020-05-16",-1,"2020"
2020-05-17,"01:52:09","LichtS","A","ein",6729,"2020-05-16",1,"2020"
2020-05-17,"01:53:53","LichtS","A","ein",6833,"2020-05-16",1,"2020"
2020-05-17,"02:06:33","LichtS","A","ein",7593,"2020-05-16",1,"2020"
2020-05-17,"02:06:40","LichtS","A","ein",7600,"2020-05-16",1,"2020"
2020-05-17,"02:11:46","LichtS","A","ein",7906,"2020-05-16",1,"2020"
2020-05-17,"02:18:43","LichtS","A","ein",8323,"2020-05-16",1,"2020"
2020-05-17,"02:27:35","LichtS","A","ein",8855,"2020-05-16",1,"2020"
2020-05-17,"02:27:44","LichtS","A","ein",8864,"2020-05-16",1,"2020"
2020-05-17,"02:30:07","LichtS","A","aus",9007,"2020-05-16",-1,"2020"
2020-05-17,"02:41:25","LichtS","A","aus",9685,"2020-05-16",-1,"2020"
2020-05-17,"03:10:53","LichtS","A","ein",11453,"2020-05-16",1,"2020"
2020-05-17,"03:15:48","LichtS","A","ein",11748,"2020-05-16",1,"2020"
2020-05-17,"20:14:17","LichtS","A","aus",72857,"2020-05-17",-1,"2020"
2020-05-17,"20:14:19","LichtS","A","ein",72859,"2020-05-17",1,"2020"
2020-05-17,"20:14:19","LichtS","A","ein",72859,"2020-05-17",1,"2020"
2020-05-17,"20:34:44","LichtS","A","aus",74084,"2020-05-17",-1,"2020"
2020-05-17,"20:49:16","LichtS","A","aus",74956,"2020-05-17",-1,"2020"
2020-05-17,"20:55:03","LichtS","A","aus",75303,"2020-05-17",-1,"2020"
2020-05-17,"20:57:40","LichtS","A","aus",75460,"2020-05-17",-1,"2020"
2020-05-17,"20:59:00","LichtS","A","aus",75540,"2020-05-17",-1,"2020"
2020-05-17,"21:05:39","LichtS","A","aus",75939,"2020-05-17",-1,"2020"
2020-05-17,"21:05:39","LichtS","A","aus",75939,"2020-05-17",-1,"2020"
2020-05-17,"21:05:39","LichtS","A","ein",75939,"2020-05-17",1,"2020"
2020-05-17,"21:05:39","LichtS","A","aus",75939,"2020-05-17",-1,"2020"
2020-05-17,"21:05:39","LichtS","A","aus",75939,"2020-05-17",-1,"2020"
2020-05-17,"21:05:39","LichtS","A","aus",75939,"2020-05-17",-1,"2020"
2020-05-17,"21:05:40","LichtS","A","ein",75940,"2020-05-17",1,"2020"
