Video.file,Date,Time,Event,EventC,VideoC,Notes,X,Innerloop,Accuracy,Week,Site,Date_auto,Time_auto,TimeofYear,pseudodate,pseudoday
snip_2020_08_21_22_40_35_out.mp4,21.8.2020,21:40:42,LS1 Ausflug,-1,-1,,NA,NA,1,A4,Eldena_L16,21.8.2020,21:40:42,20,21/08/2020,20
snip_2020_08_21_22_45_19_out.mp4,21.8.2020,21:45:27,LS1 Ausflug,-1,-1,,NA,NA,1,A4,Eldena_L16,21.8.2020,21:45:27,20,21/08/2020,20
,,,,0,1,,NA,NA,0,A4,Eldena_L16,21.8.2020,21:45:27,20,21/08/2020,20
snip_2020_08_21_22_46_23_out.mp4,21.8.2020,21:46:31,LS1 Ausflug,-1,-1,,NA,NA,1,A4,Eldena_L16,21.8.2020,21:46:31,20,21/08/2020,20
snip_2020_08_21_22_46_24_in.mp4,21.8.2020,21:46:31,LS1 Einflug,1,1,,NA,NA,1,A4,Eldena_L16,21.8.2020,21:46:31,20,21/08/2020,20
snip_2020_08_21_22_46_27_in.mp4,21.8.2020,21:46:35,LS1 Einflug,0,-1,,NA,NA,0,A4,Eldena_L16,21.8.2020,21:46:35,20,21/08/2020,20
,,,,1,1,,NA,NA,1,A4,Eldena_L16,21.8.2020,21:46:35,20,21/08/2020,20
snip_2020_08_21_22_46_33_out.mp4,21.8.2020,21:46:41,LS1 Ausflug,-1,-1,,NA,NA,1,A4,Eldena_L16,21.8.2020,21:46:41,20,21/08/2020,20
,,,,0,1,,NA,NA,0,A4,Eldena_L16,21.8.2020,21:46:41,20,21/08/2020,20
snip_2020_08_21_22_46_50_out.mp4,21.8.2020,21:46:57,LS1 Ausflug,-1,-1,,NA,NA,1,A4,Eldena_L16,21.8.2020,21:46:57,20,21/08/2020,20
snip_2020_08_21_22_46_50_in.mp4,21.8.2020,21:46:57,LS1 Einflug,1,1,,NA,NA,1,A4,Eldena_L16,21.8.2020,21:46:57,20,21/08/2020,20
,21.8.2020,21:46:57,LS1 Ausflug,-1,-1,,NA,NA,1,A4,Eldena_L16,21.8.2020,21:46:57,20,21/08/2020,20
,21.8.2020,21:46:58,LS1 Einflug,1,1,,NA,NA,1,A4,Eldena_L16,21.8.2020,21:46:58,20,21/08/2020,20
snip_2020_08_21_22_46_52_out.mp4,21.8.2020,21:46:59,LS1 Ausflug,-1,-1,,NA,NA,1,A4,Eldena_L16,21.8.2020,21:46:59,20,21/08/2020,20
,,,,0,1,,NA,NA,0,A4,Eldena_L16,21.8.2020,21:46:59,20,21/08/2020,20
snip_2020_08_21_22_53_06_in.mp4,21.8.2020,21:53:14,LS1 Einflug,1,-1,,NA,NA,0,A4,Eldena_L16,21.8.2020,21:53:14,20,21/08/2020,20
snip_2020_08_21_23_04_26_in.mp4,21.8.2020,22:04:35,LS1 Einflug,0,-1,,NA,NA,0,A4,Eldena_L16,21.8.2020,22:04:35,20,21/08/2020,20
,,,,1,1,,NA,NA,1,A4,Eldena_L16,21.8.2020,22:04:35,20,21/08/2020,20
snip_2020_08_21_23_11_21_out.mp4,21.8.2020,22:11:30,LS1 Ausflug,-1,-1,,NA,NA,1,A4,Eldena_L16,21.8.2020,22:11:30,20,21/08/2020,20
snip_2020_08_21_23_11_21_in.mp4,21.8.2020,22:11:30,LS1 Einflug,1,1,,NA,NA,1,A4,Eldena_L16,21.8.2020,22:11:30,20,21/08/2020,20
snip_2020_08_21_23_19_04_in.mp4,21.8.2020,22:19:12,LS1 Einflug,0,-1,,NA,NA,0,A4,Eldena_L16,21.8.2020,22:19:12,20,21/08/2020,20
,,,,1,1,,NA,NA,1,A4,Eldena_L16,21.8.2020,22:19:12,20,21/08/2020,20
snip_2020_08_21_23_21_33_in.mp4,21.8.2020,22:21:42,LS1 Einflug,0,-1,,NA,NA,0,A4,Eldena_L16,21.8.2020,22:21:42,20,21/08/2020,20
,,,,1,1,,NA,NA,1,A4,Eldena_L16,21.8.2020,22:21:42,20,21/08/2020,20
snip_2020_08_21_23_22_39_out.mp4,21.8.2020,22:22:48,LS1 Ausflug,-1,-1,,NA,NA,1,A4,Eldena_L16,21.8.2020,22:22:48,20,21/08/2020,20
,,,,0,1,,NA,NA,0,A4,Eldena_L16,21.8.2020,22:22:48,20,21/08/2020,20
