Video.files,Date,Time,Event,EventC,VideoC,Innerloop,Accuracy,Week,Site,Date_auto,Time_auto,TimeofYear,pseudodate,pseudoday
snip_2021_02_21_21_18_12_out.mp4,21.2.2021,21:18:21,LS1 Ausflug,-1,-1,1,1,S1,Eldena_L16,21.2.2021,21:18:21,204,21/02/2021,204
snip_2021_02_21_21_18_13_in.mp4,21.2.2021,21:18:21,LS1 Ausflug,-1,1,1,0,S1,Eldena_L16,21.2.2021,21:18:21,204,21/02/2021,204
snip_2021_02_21_21_18_17_out.mp4,21.2.2021,21:18:26,LS1 Ausflug,-1,-1,1,1,S1,Eldena_L16,21.2.2021,21:18:26,204,21/02/2021,204
snip_2021_02_21_21_18_19_in.mp4,21.2.2021,21:18:27,LS1 Einflug,1,1,1,1,S1,Eldena_L16,21.2.2021,21:18:27,204,21/02/2021,204
snip_2021_02_21_21_41_09_in.mp4,21.2.2021,21:41:17,LS1 Ausflug,-1,-1,1,1,S1,Eldena_L16,21.2.2021,21:41:17,204,21/02/2021,204
snip_2021_02_21_21_41_09_out.mp4,21.2.2021,21:41:17,LS1 Einflug,1,1,1,1,S1,Eldena_L16,21.2.2021,21:41:17,204,21/02/2021,204
snip_2021_02_21_21_41_25_out.mp4,21.2.2021,21:41:33,LS1 Ausflug,-1,-1,0,1,S1,Eldena_L16,21.2.2021,21:41:33,204,21/02/2021,204
snip_2021_02_21_21_41_45_in.mp4,21.2.2021,21:41:53,LS1 Einflug,1,1,0,1,S1,Eldena_L16,21.2.2021,21:41:53,204,21/02/2021,204
snip_2021_02_21_21_50_22_out.mp4,21.2.2021,21:50:31,LS1 Ausflug,-1,-1,1,1,S1,Eldena_L16,21.2.2021,21:50:31,204,21/02/2021,204
snip_2021_02_21_21_50_23_in.mp4,21.2.2021,21:50:31,LS1 Einflug,1,1,1,1,S1,Eldena_L16,21.2.2021,21:50:31,204,21/02/2021,204
snip_2021_02_21_22_14_19_out.mp4,21.2.2021,22:14:27,LS1 Ausflug,-1,-1,1,1,S1,Eldena_L16,21.2.2021,22:14:27,204,21/02/2021,204
snip_2021_02_21_22_14_21_in.mp4,21.2.2021,22:14:29,LS1 Einflug,1,1,1,1,S1,Eldena_L16,21.2.2021,22:14:29,204,21/02/2021,204
snip_2021_02_21_22_14_23_out.mp4,21.2.2021,22:14:31,LS1 Ausflug,-1,-1,1,1,S1,Eldena_L16,21.2.2021,22:14:31,204,21/02/2021,204
snip_2021_02_21_22_14_25_in.mp4,21.2.2021,22:14:33,LS1 Einflug,1,1,1,1,S1,Eldena_L16,21.2.2021,22:14:33,204,21/02/2021,204
snip_2021_02_21_22_16_49_out.mp4,21.2.2021,22:16:57,LS1 Ausflug,-1,-1,0,1,S1,Eldena_L16,21.2.2021,22:16:57,204,21/02/2021,204
snip_2021_02_21_22_36_28_out.mp4,21.2.2021,22:36:37,LS1 Ausflug,-1,-1,1,1,S1,Eldena_L16,21.2.2021,22:36:37,204,21/02/2021,204
,21.2.2021,22:36:37,LS1 Einflug,1,1,1,1,S1,Eldena_L16,21.2.2021,22:36:37,204,21/02/2021,204
snip_2021_02_21_22_36_34_out.mp4,21.2.2021,22:36:42,LS1 Ausflug,-1,-1,1,1,S1,Eldena_L16,21.2.2021,22:36:42,204,21/02/2021,204
,21.2.2021,22:36:42,LS1 Einflug,1,1,1,1,S1,Eldena_L16,21.2.2021,22:36:42,204,21/02/2021,204
snip_2021_02_21_22_53_54_out.mp4,21.2.2021,22:54:03,LS1 Ausflug,-1,-1,0,1,S1,Eldena_L16,21.2.2021,22:54:03,204,21/02/2021,204
snip_2021_02_21_23_25_16_in.mp4,21.2.2021,23:25:25,LS1 Einflug,0,-1,1,0,S1,Eldena_L16,21.2.2021,23:25:25,204,21/02/2021,204
,NA,NA,,1,1,1,1,S1,Eldena_L16,21.2.2021,23:25:25,204,21/02/2021,204
snip_2021_02_21_23_47_44_out.mp4,21.2.2021,23:47:54,LS1 Ausflug,-1,-1,0,1,S1,Eldena_L16,21.2.2021,23:47:54,204,21/02/2021,204
snip_2021_02_22_00_18_21_out.mp4,22.2.2021,0:18:31,LS1 Ausflug,-1,-1,1,1,S1,Eldena_L16,22.2.2021,0:18:31,205,21/02/2021,204
,22.2.2021,0:18:31,LS1 Einflug,1,1,1,1,S1,Eldena_L16,22.2.2021,0:18:31,205,21/02/2021,204
snip_2021_02_22_00_38_32_out.mp4,22.2.2021,0:38:41,LS1 Ausflug,-1,-1,0,1,S1,Eldena_L16,22.2.2021,0:38:41,205,21/02/2021,204
snip_2021_02_22_03_21_08_in.mp4,22.2.2021,3:21:19,LS1 Einflug,0,-1,1,0,S1,Eldena_L16,22.2.2021,3:21:19,205,21/02/2021,204
,NA,NA,,1,1,1,1,S1,Eldena_L16,22.2.2021,3:21:19,205,21/02/2021,204
snip_2021_02_22_05_26_48_in.mp4,22.2.2021,5:26:58,LS1 Ausflug,-1,-1,1,1,S1,Eldena_L16,22.2.2021,5:26:58,205,21/02/2021,204
