Video.files,Date,Time,Event,EventC,VideoC,Innerloop,Accuracy,Week,Site,Date_auto,Time_auto,TimeofYear,pseudodate,pseudoday,flutter error,event missed
,25.2.2021,2:07:43,LS3 Einflug,1,1,0,1,S1,Eldena_L8,25.2.2021,2:07:43,208,24/02/2021,207,0,
,25.2.2021,4:35:27,LS3 Ausflug,-1,-1,0,1,S1,Eldena_L8,25.2.2021,4:35:27,208,24/02/2021,207,0,
,25.2.2021,4:51:59,LS3 Ausflug,-1,-1,0,1,S1,Eldena_L8,25.2.2021,4:51:59,208,24/02/2021,207,0,
,25.2.2021,4:52:13,LS3 Einflug,1,1,0,1,S1,Eldena_L8,25.2.2021,4:52:13,208,24/02/2021,207,0,
,25.2.2021,4:52:17,LS3 Ausflug,-1,-1,0,1,S1,Eldena_L8,25.2.2021,4:52:17,208,24/02/2021,207,0,
,25.2.2021,4:53:20,LS3 Ausflug,-1,-1,0,1,S1,Eldena_L8,25.2.2021,4:53:20,208,24/02/2021,207,0,
,25.2.2021,19:08:59,LS3 Ausflug,-1,-1,0,1,S1,Eldena_L8,25.2.2021,19:08:59,208,25/02/2021,208,0,
,25.2.2021,19:09:10,LS3 Einflug,1,1,0,1,S1,Eldena_L8,25.2.2021,19:09:10,208,25/02/2021,208,0,
,25.2.2021,19:33:12,LS3 Ausflug,-1,-1,0,1,S1,Eldena_L8,25.2.2021,19:33:12,208,25/02/2021,208,0,
,25.2.2021,19:44:50,LS3 Ausflug,-1,-1,0,1,S1,Eldena_L8,25.2.2021,19:44:50,208,25/02/2021,208,0,
,25.2.2021,20:08:09,LS3 Einflug,1,1,0,1,S1,Eldena_L8,25.2.2021,20:08:09,208,25/02/2021,208,0,
,25.2.2021,20:09:39,LS3 Ausflug,-1,-1,0,1,S1,Eldena_L8,25.2.2021,20:09:39,208,25/02/2021,208,0,
,25.2.2021,20:20:41,LS3 Ausflug,-1,-1,0,1,S1,Eldena_L8,25.2.2021,20:20:41,208,25/02/2021,208,0,
,25.2.2021,20:29:16,LS3 Ausflug,-1,-1,0,1,S1,Eldena_L8,25.2.2021,20:29:16,208,25/02/2021,208,0,
,25.2.2021,20:49:48,LS3 Ausflug,-1,-1,0,1,S1,Eldena_L8,25.2.2021,20:49:48,208,25/02/2021,208,0,
,25.2.2021,20:50:11,LS3 Einflug,1,1,0,1,S1,Eldena_L8,25.2.2021,20:50:11,208,25/02/2021,208,0,
,25.2.2021,20:51:20,LS3 Ausflug,-1,-1,0,1,S1,Eldena_L8,25.2.2021,20:51:20,208,25/02/2021,208,0,
,25.2.2021,20:51:23,LS3 Einflug,1,1,0,1,S1,Eldena_L8,25.2.2021,20:51:23,208,25/02/2021,208,0,
,25.2.2021,21:02:38,LS3 Ausflug,-1,-1,0,1,S1,Eldena_L8,25.2.2021,21:02:38,208,25/02/2021,208,0,
,25.2.2021,21:48:16,LS3 Ausflug,-1,-1,0,1,S1,Eldena_L8,25.2.2021,21:48:16,208,25/02/2021,208,0,
,25.2.2021,21:48:24,LS3 Einflug,1,1,0,1,S1,Eldena_L8,25.2.2021,21:48:24,208,25/02/2021,208,0,
,25.2.2021,22:07:32,LS3 Ausflug,-1,-1,0,1,S1,Eldena_L8,25.2.2021,22:07:32,208,25/02/2021,208,0,
,25.2.2021,22:07:42,LS3 Einflug,1,1,0,1,S1,Eldena_L8,25.2.2021,22:07:42,208,25/02/2021,208,0,
,25.2.2021,22:07:48,LS3 Ausflug,-1,-1,0,1,S1,Eldena_L8,25.2.2021,22:07:48,208,25/02/2021,208,0,
,25.2.2021,22:07:55,LS3 Einflug,1,1,0,1,S1,Eldena_L8,25.2.2021,22:07:55,208,25/02/2021,208,0,
,25.2.2021,22:08:03,LS3 Ausflug,-1,-1,0,1,S1,Eldena_L8,25.2.2021,22:08:03,208,25/02/2021,208,0,
,25.2.2021,22:08:08,LS3 Einflug,1,1,0,1,S1,Eldena_L8,25.2.2021,22:08:08,208,25/02/2021,208,0,
,25.2.2021,22:13:33,LS3 Einflug,1,1,0,1,S1,Eldena_L8,25.2.2021,22:13:33,208,25/02/2021,208,0,
,25.2.2021,22:26:48,LS3 Ausflug,-1,-1,0,1,S1,Eldena_L8,25.2.2021,22:26:48,208,25/02/2021,208,0,
,25.2.2021,22:31:26,LS3 Ausflug,-1,-1,0,1,S1,Eldena_L8,25.2.2021,22:31:26,208,25/02/2021,208,0,
,25.2.2021,22:32:14,LS3 Einflug,1,1,0,1,S1,Eldena_L8,25.2.2021,22:32:14,208,25/02/2021,208,0,
,25.2.2021,23:53:13,LS3 Ausflug,-1,-1,0,1,S1,Eldena_L8,25.2.2021,23:53:13,208,25/02/2021,208,0,
,26.2.2021,0:00:17,LS3 Ausflug,-1,-1,0,1,S1,Eldena_L8,26.2.2021,0:00:17,209,25/02/2021,208,0,
,26.2.2021,0:11:41,LS3 Ausflug,-1,-1,0,1,S1,Eldena_L8,26.2.2021,0:11:41,209,25/02/2021,208,0,
,26.2.2021,0:11:58,LS3 Einflug,1,1,0,1,S1,Eldena_L8,26.2.2021,0:11:58,209,25/02/2021,208,0,
,26.2.2021,0:21:09,LS3 Ausflug,-1,-1,0,1,S1,Eldena_L8,26.2.2021,0:21:09,209,25/02/2021,208,0,
,26.2.2021,1:27:03,LS3 Ausflug,-1,-1,0,1,S1,Eldena_L8,26.2.2021,1:27:03,209,25/02/2021,208,0,
,26.2.2021,19:35:44,LS3 Ausflug,-1,-1,0,1,S1,Eldena_L8,26.2.2021,19:35:44,209,26/02/2021,209,0,
,26.2.2021,19:35:57,LS3 Einflug,1,1,0,1,S1,Eldena_L8,26.2.2021,19:35:57,209,26/02/2021,209,0,
,26.2.2021,20:08:50,LS3 Ausflug,-1,-1,0,1,S1,Eldena_L8,26.2.2021,20:08:50,209,26/02/2021,209,0,
,26.2.2021,20:08:58,LS3 Einflug,1,1,0,1,S1,Eldena_L8,26.2.2021,20:08:58,209,26/02/2021,209,0,
,26.2.2021,20:34:44,LS3 Einflug,1,1,0,1,S1,Eldena_L8,26.2.2021,20:34:44,209,26/02/2021,209,0,
,26.2.2021,21:25:54,LS3 Einflug,1,1,0,1,S1,Eldena_L8,26.2.2021,21:25:54,209,26/02/2021,209,0,
,26.2.2021,22:03:15,LS3 Ausflug,-1,-1,0,1,S1,Eldena_L8,26.2.2021,22:03:15,209,26/02/2021,209,0,
,26.2.2021,22:12:54,LS3 Ausflug,-1,-1,0,1,S1,Eldena_L8,26.2.2021,22:12:54,209,26/02/2021,209,0,
,26.2.2021,22:13:15,LS3 Einflug,1,1,0,1,S1,Eldena_L8,26.2.2021,22:13:15,209,26/02/2021,209,0,
,26.2.2021,22:44:24,LS3 Ausflug,-1,-1,0,1,S1,Eldena_L8,26.2.2021,22:44:24,209,26/02/2021,209,0,
,26.2.2021,22:56:11,LS3 Ausflug,-1,-1,0,1,S1,Eldena_L8,26.2.2021,22:56:11,209,26/02/2021,209,0,
,26.2.2021,23:48:13,LS3 Ausflug,-1,-1,0,1,S1,Eldena_L8,26.2.2021,23:48:13,209,26/02/2021,209,0,
,26.2.2021,23:48:29,LS3 Einflug,1,1,0,1,S1,Eldena_L8,26.2.2021,23:48:29,209,26/02/2021,209,0,
,27.2.2021,0:21:13,LS3 Ausflug,-1,-1,0,1,S1,Eldena_L8,27.2.2021,0:21:13,210,26/02/2021,209,0,
,27.2.2021,0:21:26,LS3 Einflug,1,1,0,1,S1,Eldena_L8,27.2.2021,0:21:26,210,26/02/2021,209,0,
,27.2.2021,1:23:03,LS3 Ausflug,-1,-1,0,1,S1,Eldena_L8,27.2.2021,1:23:03,210,26/02/2021,209,0,
,27.2.2021,2:15:51,LS3 Ausflug,-1,-1,0,1,S1,Eldena_L8,27.2.2021,2:15:51,210,26/02/2021,209,0,
,27.2.2021,2:16:16,LS3 Einflug,1,1,0,1,S1,Eldena_L8,27.2.2021,2:16:16,210,26/02/2021,209,0,
,27.2.2021,2:59:42,LS3 Ausflug,-1,-1,0,1,S1,Eldena_L8,27.2.2021,2:59:42,210,26/02/2021,209,0,
,27.2.2021,2:59:55,LS3 Einflug,1,1,0,1,S1,Eldena_L8,27.2.2021,2:59:55,210,26/02/2021,209,0,
snip_2020_12_04_19_07_08_out.mp4,27.2.2021,18:35:06,LS3 Ausflug,-1,-1,0,1,S2,Eldena_L8,27.2.2021,18:35:06,210,27/02/2021,210,0,
snip_2020_12_04_19_15_53_in.mp4,27.2.2021,18:43:51,LS3 Einflug,1,1,0,1,S2,Eldena_L8,27.2.2021,18:43:51,210,27/02/2021,210,0,
snip_2020_12_04_21_14_34_out.mp4,27.2.2021,20:42:32,LS3 Ausflug,-1,-1,0,1,S2,Eldena_L8,27.2.2021,20:42:32,210,27/02/2021,210,0,
snip_2020_12_04_21_14_44_in.mp4,27.2.2021,20:42:41,LS3 Einflug,1,1,0,1,S2,Eldena_L8,27.2.2021,20:42:41,210,27/02/2021,210,0,
snip_2020_12_04_21_33_43_out.mp4,27.2.2021,21:01:40,LS3 Ausflug,-1,-1,0,1,S2,Eldena_L8,27.2.2021,21:01:40,210,27/02/2021,210,0,
snip_2020_12_04_21_33_47_in.mp4,27.2.2021,21:01:44,LS3 Einflug,1,1,0,1,S2,Eldena_L8,27.2.2021,21:01:44,210,27/02/2021,210,0,
snip_2020_12_04_23_31_56_out.mp4,27.2.2021,22:59:54,LS3 Ausflug,-1,-1,0,1,S2,Eldena_L8,27.2.2021,22:59:54,210,27/02/2021,210,0,
snip_2020_12_05_22_51_43_in.mp4,28.2.2021,22:19:48,LS3 Einflug,1,1,0,1,S2,Eldena_L8,28.2.2021,22:19:48,211,28/02/2021,211,0,
snip_2020_12_05_23_09_32_in.mp4,28.2.2021,22:37:38,LS3 Einflug,1,1,0,1,S2,Eldena_L8,28.2.2021,22:37:38,211,28/02/2021,211,0,
snip_2020_12_05_23_39_29_out.mp4,28.2.2021,23:07:35,LS3 Ausflug,-1,-1,0,1,S2,Eldena_L8,28.2.2021,23:07:35,211,28/02/2021,211,0,
snip_2020_12_05_23_50_27_out.mp4,28.2.2021,23:18:33,LS3 Ausflug,-1,-1,0,1,S2,Eldena_L8,28.2.2021,23:18:33,211,28/02/2021,211,0,
snip_2020_12_06_01_14_15_in.mp4,1.3.2021,0:42:21,LS3 Einflug,1,1,0,1,S2,Eldena_L8,1.3.2021,0:42:21,212,28/02/2021,211,0,
snip_2020_12_06_19_52_08_out.mp4,1.3.2021,19:20:19,LS3 Ausflug,-1,-1,0,1,S2,Eldena_L8,1.3.2021,19:20:19,212,01/03/2021,212,0,
snip_2020_12_06_19_52_16_in.mp4,1.3.2021,19:20:28,LS3 Einflug,1,1,0,1,S2,Eldena_L8,1.3.2021,19:20:28,212,01/03/2021,212,0,
snip_2020_12_06_20_34_58_out.mp4,1.3.2021,20:03:09,LS3 Ausflug,-1,-1,0,1,S2,Eldena_L8,1.3.2021,20:03:09,212,01/03/2021,212,0,
snip_2020_12_06_20_46_09_out.mp4,1.3.2021,20:14:20,LS3 Ausflug,-1,-1,0,1,S2,Eldena_L8,1.3.2021,20:14:20,212,01/03/2021,212,0,
snip_2020_12_06_21_03_45_out.mp4,1.3.2021,20:31:57,LS3 Ausflug,-1,-1,0,1,S2,Eldena_L8,1.3.2021,20:31:57,212,01/03/2021,212,0,
snip_2020_12_06_22_50_48_in.mp4,1.3.2021,22:19:00,LS3 Einflug,1,1,0,1,S2,Eldena_L8,1.3.2021,22:19:00,212,01/03/2021,212,0,
snip_2020_12_07_01_42_03_out.mp4,2.3.2021,1:10:17,LS3 Ausflug,-1,-1,0,1,S2,Eldena_L8,2.3.2021,1:10:17,213,01/03/2021,212,0,
snip_2020_12_07_01_42_11_in.mp4,2.3.2021,1:10:25,LS3 Einflug,1,1,0,1,S2,Eldena_L8,2.3.2021,1:10:25,213,01/03/2021,212,0,
snip_2020_12_07_19_12_35_out.mp4,2.3.2021,18:40:53,LS3 Ausflug,-1,-1,0,1,S2,Eldena_L8,2.3.2021,18:40:53,213,02/03/2021,213,0,
snip_2020_12_07_21_30_51_out.mp4,2.3.2021,20:59:11,LS3 Ausflug,-1,-1,0,1,S2,Eldena_L8,2.3.2021,20:59:11,213,02/03/2021,213,0,
snip_2020_12_07_22_13_40_out.mp4,2.3.2021,21:42:00,LS3 Ausflug,-1,-1,0,1,S2,Eldena_L8,2.3.2021,21:42:00,213,02/03/2021,213,0,
snip_2020_12_08_01_21_05_out.mp4,3.3.2021,0:49:26,LS3 Ausflug,-1,-1,0,1,S2,Eldena_L8,3.3.2021,0:49:26,214,02/03/2021,213,0,
snip_2020_12_08_19_05_00_out.mp4,3.3.2021,18:33:25,LS3 Ausflug,-1,-1,0,1,S2,Eldena_L8,3.3.2021,18:33:25,214,03/03/2021,214,0,
snip_2020_12_08_19_17_22_out.mp4,3.3.2021,18:45:48,LS3 Ausflug,-1,-1,0,1,S2,Eldena_L8,3.3.2021,18:45:48,214,03/03/2021,214,0,
snip_2020_12_08_21_27_36_in.mp4,3.3.2021,20:56:02,LS3 Einflug,1,1,0,1,S2,Eldena_L8,3.3.2021,20:56:02,214,03/03/2021,214,0,
snip_2020_12_08_21_42_54_in.mp4,3.3.2021,21:11:20,LS3 Einflug,1,1,0,1,S2,Eldena_L8,3.3.2021,21:11:20,214,03/03/2021,214,0,
snip_2020_12_08_21_46_43_out.mp4,3.3.2021,21:15:10,LS3 Ausflug,-1,-1,0,1,S2,Eldena_L8,3.3.2021,21:15:10,214,03/03/2021,214,0,
snip_2020_12_09_00_18_13_out.mp4,3.3.2021,23:46:41,LS3 Ausflug,-1,-1,0,1,S2,Eldena_L8,3.3.2021,23:46:41,214,03/03/2021,214,0,
snip_2020_12_09_03_24_35_in.mp4,4.3.2021,2:53:03,LS3 Einflug,1,1,0,1,S2,Eldena_L8,4.3.2021,2:53:03,215,03/03/2021,214,0,
snip_2020_12_09_03_54_08_out.mp4,4.3.2021,3:22:37,LS3 Ausflug,-1,-1,0,1,S2,Eldena_L8,4.3.2021,3:22:37,215,03/03/2021,214,0,
snip_2020_12_09_06_08_50_out.mp4,4.3.2021,5:37:20,LS3 Ausflug,-1,-1,0,1,S2,Eldena_L8,4.3.2021,5:37:20,215,03/03/2021,214,0,
